_date,total_clones,unique_clones
2026-05-03,0,0
2026-05-04,0,0
2026-05-05,0,0
2026-05-06,0,0
2026-05-07,0,0
2026-05-08,0,0
2026-05-09,0,0
2026-05-10,0,0
2026-05-11,0,0
2026-05-12,0,0
2026-05-13,0,0
2026-05-14,0,0
2026-05-15,0,0
2026-05-16,493,221
2026-05-17,78,44
2026-05-18,55,33
2026-05-19,30,20
2026-05-20,12,8
2026-05-21,15,6
2026-05-22,15,7
2026-05-23,6,5
2026-05-24,14,10
2026-05-25,15,8
2026-05-26,7,4
2026-05-27,15,10
2026-05-28,8,5
2026-05-29,11,7
2026-05-30,10,6
2026-05-31,19,13
2026-06-01,6,6
2026-06-02,11,6
2026-06-03,9,5
2026-06-04,14,9
2026-06-05,13,8
2026-06-06,12,9
2026-06-07,6,3
2026-06-08,12,7
2026-06-09,14,10
2026-06-10,6,3
2026-06-11,12,7
2026-06-12,10,6
2026-06-13,3,3
2026-06-14,18,6
2026-06-15,12,5
2026-06-16,15,6
2026-06-17,18,11
2026-06-18,20,10
2026-06-19,26,10
2026-06-20,105,34
2026-06-21,11,7
2026-06-22,2,2
2026-06-23,11,6
2026-06-24,5,5
2026-06-25,11,7
2026-06-26,6,3
2026-06-27,12,7
2026-06-28,7,4
2026-06-29,9,5
2026-06-30,8,5
2026-07-01,13,8
2026-07-02,15,10
2026-07-03,14,9
2026-07-04,12,8
2026-07-05,14,9
2026-07-06,7,4
2026-07-07,2,2
2026-07-08,2,2
2026-07-09,11,7
2026-07-10,15,11
